name,latitude,longitude,category_name,venues
Jardim Pamplona,-23.57075710250764,-46.6607272013104,Arts & Entertainment,33
Jardim Pamplona,-23.57075710250764,-46.6607272013104,College & University,35
Jardim Pamplona,-23.57075710250764,-46.6607272013104,Event,13
Jardim Pamplona,-23.57075710250764,-46.6607272013104,Food,140
Jardim Pamplona,-23.57075710250764,-46.6607272013104,Nightlife Spot,38
Jardim Pamplona,-23.57075710250764,-46.6607272013104,Outdoors & Recreation,64
Jardim Pamplona,-23.57075710250764,-46.6607272013104,Professional & Other Places,80
Jardim Pamplona,-23.57075710250764,-46.6607272013104,Residence,25
Jardim Pamplona,-23.57075710250764,-46.6607272013104,Shop & Service,74
Jardim Pamplona,-23.57075710250764,-46.6607272013104,Travel & Transport,55
Galeria Pão de Açucar Ricardo Jafet,-23.58813771094474,-46.62034660577774,Arts & Entertainment,7
Galeria Pão de Açucar Ricardo Jafet,-23.58813771094474,-46.62034660577774,College & University,16
Galeria Pão de Açucar Ricardo Jafet,-23.58813771094474,-46.62034660577774,Event,3
Galeria Pão de Açucar Ricardo Jafet,-23.58813771094474,-46.62034660577774,Food,68
Galeria Pão de Açucar Ricardo Jafet,-23.58813771094474,-46.62034660577774,Nightlife Spot,14
Galeria Pão de Açucar Ricardo Jafet,-23.58813771094474,-46.62034660577774,Outdoors & Recreation,35
Galeria Pão de Açucar Ricardo Jafet,-23.58813771094474,-46.62034660577774,Professional & Other Places,36
Galeria Pão de Açucar Ricardo Jafet,-23.58813771094474,-46.62034660577774,Residence,17
Galeria Pão de Açucar Ricardo Jafet,-23.58813771094474,-46.62034660577774,Shop & Service,63
Galeria Pão de Açucar Ricardo Jafet,-23.58813771094474,-46.62034660577774,Travel & Transport,13
Conjunto Nacional,-23.559015452200303,-46.66006950896595,Arts & Entertainment,61
Conjunto Nacional,-23.559015452200303,-46.66006950896595,College & University,59
Conjunto Nacional,-23.559015452200303,-46.66006950896595,Event,19
Conjunto Nacional,-23.559015452200303,-46.66006950896595,Food,202
Conjunto Nacional,-23.559015452200303,-46.66006950896595,Nightlife Spot,115
Conjunto Nacional,-23.559015452200303,-46.66006950896595,Outdoors & Recreation,80
Conjunto Nacional,-23.559015452200303,-46.66006950896595,Professional & Other Places,121
Conjunto Nacional,-23.559015452200303,-46.66006950896595,Residence,33
Conjunto Nacional,-23.559015452200303,-46.66006950896595,Shop & Service,116
Conjunto Nacional,-23.559015452200303,-46.66006950896595,Travel & Transport,85
MorumbiShopping,-23.623372279442282,-46.698975563049316,Arts & Entertainment,10
MorumbiShopping,-23.623372279442282,-46.698975563049316,College & University,34
MorumbiShopping,-23.623372279442282,-46.698975563049316,Event,5
MorumbiShopping,-23.623372279442282,-46.698975563049316,Food,150
MorumbiShopping,-23.623372279442282,-46.698975563049316,Nightlife Spot,23
MorumbiShopping,-23.623372279442282,-46.698975563049316,Outdoors & Recreation,50
MorumbiShopping,-23.623372279442282,-46.698975563049316,Professional & Other Places,85
MorumbiShopping,-23.623372279442282,-46.698975563049316,Residence,19
MorumbiShopping,-23.623372279442282,-46.698975563049316,Shop & Service,113
MorumbiShopping,-23.623372279442282,-46.698975563049316,Travel & Transport,21
Shopping Eldorado,-23.572872007065477,-46.69617063371716,Arts & Entertainment,23
Shopping Eldorado,-23.572872007065477,-46.69617063371716,College & University,28
Shopping Eldorado,-23.572872007065477,-46.69617063371716,Event,10
Shopping Eldorado,-23.572872007065477,-46.69617063371716,Food,226
Shopping Eldorado,-23.572872007065477,-46.69617063371716,Nightlife Spot,52
Shopping Eldorado,-23.572872007065477,-46.69617063371716,Outdoors & Recreation,47
Shopping Eldorado,-23.572872007065477,-46.69617063371716,Professional & Other Places,75
Shopping Eldorado,-23.572872007065477,-46.69617063371716,Residence,11
Shopping Eldorado,-23.572872007065477,-46.69617063371716,Shop & Service,96
Shopping Eldorado,-23.572872007065477,-46.69617063371716,Travel & Transport,40
Morumbi Open Center,-23.641593675426716,-46.74318919525597,Arts & Entertainment,3
Morumbi Open Center,-23.641593675426716,-46.74318919525597,College & University,9
Morumbi Open Center,-23.641593675426716,-46.74318919525597,Event,3
Morumbi Open Center,-23.641593675426716,-46.74318919525597,Food,57
Morumbi Open Center,-23.641593675426716,-46.74318919525597,Nightlife Spot,13
Morumbi Open Center,-23.641593675426716,-46.74318919525597,Outdoors & Recreation,20
Morumbi Open Center,-23.641593675426716,-46.74318919525597,Professional & Other Places,36
Morumbi Open Center,-23.641593675426716,-46.74318919525597,Residence,9
Morumbi Open Center,-23.641593675426716,-46.74318919525597,Shop & Service,42
Morumbi Open Center,-23.641593675426716,-46.74318919525597,Travel & Transport,8
Fabbrica Mooca,-23.550453232508783,-46.59554432335314,Arts & Entertainment,6
Fabbrica Mooca,-23.550453232508783,-46.59554432335314,College & University,39
Fabbrica Mooca,-23.550453232508783,-46.59554432335314,Event,3
Fabbrica Mooca,-23.550453232508783,-46.59554432335314,Food,117
Fabbrica Mooca,-23.550453232508783,-46.59554432335314,Nightlife Spot,35
Fabbrica Mooca,-23.550453232508783,-46.59554432335314,Outdoors & Recreation,41
Fabbrica Mooca,-23.550453232508783,-46.59554432335314,Professional & Other Places,51
Fabbrica Mooca,-23.550453232508783,-46.59554432335314,Residence,24
Fabbrica Mooca,-23.550453232508783,-46.59554432335314,Shop & Service,47
Fabbrica Mooca,-23.550453232508783,-46.59554432335314,Travel & Transport,10
Shopping Frei Caneca,-23.553974780819996,-46.652772280834085,Arts & Entertainment,79
Shopping Frei Caneca,-23.553974780819996,-46.652772280834085,College & University,68
Shopping Frei Caneca,-23.553974780819996,-46.652772280834085,Event,14
Shopping Frei Caneca,-23.553974780819996,-46.652772280834085,Food,152
Shopping Frei Caneca,-23.553974780819996,-46.652772280834085,Nightlife Spot,112
Shopping Frei Caneca,-23.553974780819996,-46.652772280834085,Outdoors & Recreation,76
Shopping Frei Caneca,-23.553974780819996,-46.652772280834085,Professional & Other Places,105
Shopping Frei Caneca,-23.553974780819996,-46.652772280834085,Residence,36
Shopping Frei Caneca,-23.553974780819996,-46.652772280834085,Shop & Service,107
Shopping Frei Caneca,-23.553974780819996,-46.652772280834085,Travel & Transport,70
Open Mall Panamby,-23.63323410753263,-46.72889201487871,Arts & Entertainment,9
Open Mall Panamby,-23.63323410753263,-46.72889201487871,College & University,15
Open Mall Panamby,-23.63323410753263,-46.72889201487871,Event,2
Open Mall Panamby,-23.63323410753263,-46.72889201487871,Food,72
Open Mall Panamby,-23.63323410753263,-46.72889201487871,Nightlife Spot,6
Open Mall Panamby,-23.63323410753263,-46.72889201487871,Outdoors & Recreation,44
Open Mall Panamby,-23.63323410753263,-46.72889201487871,Professional & Other Places,50
Open Mall Panamby,-23.63323410753263,-46.72889201487871,Residence,32
Open Mall Panamby,-23.63323410753263,-46.72889201487871,Shop & Service,91
Open Mall Panamby,-23.63323410753263,-46.72889201487871,Travel & Transport,6
Shopping Pátio Paulista,-23.570800471753657,-46.64354385176048,Arts & Entertainment,30
Shopping Pátio Paulista,-23.570800471753657,-46.64354385176048,College & University,43
Shopping Pátio Paulista,-23.570800471753657,-46.64354385176048,Event,12
Shopping Pátio Paulista,-23.570800471753657,-46.64354385176048,Food,178
Shopping Pátio Paulista,-23.570800471753657,-46.64354385176048,Nightlife Spot,45
Shopping Pátio Paulista,-23.570800471753657,-46.64354385176048,Outdoors & Recreation,63
Shopping Pátio Paulista,-23.570800471753657,-46.64354385176048,Professional & Other Places,140
Shopping Pátio Paulista,-23.570800471753657,-46.64354385176048,Residence,32
Shopping Pátio Paulista,-23.570800471753657,-46.64354385176048,Shop & Service,105
Shopping Pátio Paulista,-23.570800471753657,-46.64354385176048,Travel & Transport,75
Shopping Iguatemi,-23.577046301216768,-46.68833255767822,Arts & Entertainment,22
Shopping Iguatemi,-23.577046301216768,-46.68833255767822,College & University,23
Shopping Iguatemi,-23.577046301216768,-46.68833255767822,Event,10
Shopping Iguatemi,-23.577046301216768,-46.68833255767822,Food,136
Shopping Iguatemi,-23.577046301216768,-46.68833255767822,Nightlife Spot,34
Shopping Iguatemi,-23.577046301216768,-46.68833255767822,Outdoors & Recreation,61
Shopping Iguatemi,-23.577046301216768,-46.68833255767822,Professional & Other Places,77
Shopping Iguatemi,-23.577046301216768,-46.68833255767822,Residence,8
Shopping Iguatemi,-23.577046301216768,-46.68833255767822,Shop & Service,98
Shopping Iguatemi,-23.577046301216768,-46.68833255767822,Travel & Transport,27
Shopping Metrô Santa Cruz,-23.599090541280177,-46.637091636657715,Arts & Entertainment,28
Shopping Metrô Santa Cruz,-23.599090541280177,-46.637091636657715,College & University,54
Shopping Metrô Santa Cruz,-23.599090541280177,-46.637091636657715,Event,6
Shopping Metrô Santa Cruz,-23.599090541280177,-46.637091636657715,Food,154
Shopping Metrô Santa Cruz,-23.599090541280177,-46.637091636657715,Nightlife Spot,30
Shopping Metrô Santa Cruz,-23.599090541280177,-46.637091636657715,Outdoors & Recreation,59
Shopping Metrô Santa Cruz,-23.599090541280177,-46.637091636657715,Professional & Other Places,91
Shopping Metrô Santa Cruz,-23.599090541280177,-46.637091636657715,Residence,18
Shopping Metrô Santa Cruz,-23.599090541280177,-46.637091636657715,Shop & Service,94
Shopping Metrô Santa Cruz,-23.599090541280177,-46.637091636657715,Travel & Transport,20
Shopping Interlagos,-23.67600784928088,-46.677133532508215,Arts & Entertainment,5
Shopping Interlagos,-23.67600784928088,-46.677133532508215,College & University,15
Shopping Interlagos,-23.67600784928088,-46.677133532508215,Event,1
Shopping Interlagos,-23.67600784928088,-46.677133532508215,Food,73
Shopping Interlagos,-23.67600784928088,-46.677133532508215,Nightlife Spot,10
Shopping Interlagos,-23.67600784928088,-46.677133532508215,Outdoors & Recreation,16
Shopping Interlagos,-23.67600784928088,-46.677133532508215,Professional & Other Places,46
Shopping Interlagos,-23.67600784928088,-46.677133532508215,Residence,8
Shopping Interlagos,-23.67600784928088,-46.677133532508215,Shop & Service,74
Shopping Interlagos,-23.67600784928088,-46.677133532508215,Travel & Transport,4
Centro Empresarial de São Paulo (CENESP),-23.648681520701164,-46.73053215094947,Arts & Entertainment,7
Centro Empresarial de São Paulo (CENESP),-23.648681520701164,-46.73053215094947,College & University,6
Centro Empresarial de São Paulo (CENESP),-23.648681520701164,-46.73053215094947,Event,3
Centro Empresarial de São Paulo (CENESP),-23.648681520701164,-46.73053215094947,Food,85
Centro Empresarial de São Paulo (CENESP),-23.648681520701164,-46.73053215094947,Nightlife Spot,6
Centro Empresarial de São Paulo (CENESP),-23.648681520701164,-46.73053215094947,Outdoors & Recreation,18
Centro Empresarial de São Paulo (CENESP),-23.648681520701164,-46.73053215094947,Professional & Other Places,64
Centro Empresarial de São Paulo (CENESP),-23.648681520701164,-46.73053215094947,Residence,3
Centro Empresarial de São Paulo (CENESP),-23.648681520701164,-46.73053215094947,Shop & Service,67
Centro Empresarial de São Paulo (CENESP),-23.648681520701164,-46.73053215094947,Travel & Transport,13
Bourbon Shopping,-23.526457302940894,-46.68109035118089,Arts & Entertainment,32
Bourbon Shopping,-23.526457302940894,-46.68109035118089,College & University,29
Bourbon Shopping,-23.526457302940894,-46.68109035118089,Event,6
Bourbon Shopping,-23.526457302940894,-46.68109035118089,Food,122
Bourbon Shopping,-23.526457302940894,-46.68109035118089,Nightlife Spot,61
Bourbon Shopping,-23.526457302940894,-46.68109035118089,Outdoors & Recreation,61
Bourbon Shopping,-23.526457302940894,-46.68109035118089,Professional & Other Places,67
Bourbon Shopping,-23.526457302940894,-46.68109035118089,Residence,19
Bourbon Shopping,-23.526457302940894,-46.68109035118089,Shop & Service,90
Bourbon Shopping,-23.526457302940894,-46.68109035118089,Travel & Transport,17
Shopping Ibirapuera,-23.610442262722714,-46.666698277164514,Arts & Entertainment,19
Shopping Ibirapuera,-23.610442262722714,-46.666698277164514,College & University,32
Shopping Ibirapuera,-23.610442262722714,-46.666698277164514,Event,4
Shopping Ibirapuera,-23.610442262722714,-46.666698277164514,Food,176
Shopping Ibirapuera,-23.610442262722714,-46.666698277164514,Nightlife Spot,53
Shopping Ibirapuera,-23.610442262722714,-46.666698277164514,Outdoors & Recreation,66
Shopping Ibirapuera,-23.610442262722714,-46.666698277164514,Professional & Other Places,65
Shopping Ibirapuera,-23.610442262722714,-46.666698277164514,Residence,14
Shopping Ibirapuera,-23.610442262722714,-46.666698277164514,Shop & Service,119
Shopping Ibirapuera,-23.610442262722714,-46.666698277164514,Travel & Transport,38
Shopping Anália Franco,-23.561569672742817,-46.55994845622682,Arts & Entertainment,7
Shopping Anália Franco,-23.561569672742817,-46.55994845622682,College & University,18
Shopping Anália Franco,-23.561569672742817,-46.55994845622682,Event,1
Shopping Anália Franco,-23.561569672742817,-46.55994845622682,Food,79
Shopping Anália Franco,-23.561569672742817,-46.55994845622682,Nightlife Spot,6
Shopping Anália Franco,-23.561569672742817,-46.55994845622682,Outdoors & Recreation,32
Shopping Anália Franco,-23.561569672742817,-46.55994845622682,Professional & Other Places,52
Shopping Anália Franco,-23.561569672742817,-46.55994845622682,Residence,5
Shopping Anália Franco,-23.561569672742817,-46.55994845622682,Shop & Service,96
Shopping Anália Franco,-23.561569672742817,-46.55994845622682,Travel & Transport,5
Morumbi Town,-23.631746960866803,-46.73736333847045,Arts & Entertainment,11
Morumbi Town,-23.631746960866803,-46.73736333847045,College & University,15
Morumbi Town,-23.631746960866803,-46.73736333847045,Event,6
Morumbi Town,-23.631746960866803,-46.73736333847045,Food,46
Morumbi Town,-23.631746960866803,-46.73736333847045,Nightlife Spot,5
Morumbi Town,-23.631746960866803,-46.73736333847045,Outdoors & Recreation,48
Morumbi Town,-23.631746960866803,-46.73736333847045,Professional & Other Places,57
Morumbi Town,-23.631746960866803,-46.73736333847045,Residence,44
Morumbi Town,-23.631746960866803,-46.73736333847045,Shop & Service,96
Morumbi Town,-23.631746960866803,-46.73736333847045,Travel & Transport,9
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Arts & Entertainment,24
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,College & University,79
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Event,4
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Food,193
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Nightlife Spot,57
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Outdoors & Recreation,76
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Professional & Other Places,80
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Residence,18
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Shop & Service,105
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Travel & Transport,26
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Arts & Entertainment,11
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,College & University,17
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Event,6
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Food,81
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Nightlife Spot,6
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Outdoors & Recreation,47
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Professional & Other Places,59
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Residence,43
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Shop & Service,95
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Travel & Transport,4
The Square Open Mall,-23.589987572319743,-46.82470911732474,Arts & Entertainment,5
The Square Open Mall,-23.589987572319743,-46.82470911732474,College & University,7
The Square Open Mall,-23.589987572319743,-46.82470911732474,Event,2
The Square Open Mall,-23.589987572319743,-46.82470911732474,Food,44
The Square Open Mall,-23.589987572319743,-46.82470911732474,Nightlife Spot,5
The Square Open Mall,-23.589987572319743,-46.82470911732474,Outdoors & Recreation,7
The Square Open Mall,-23.589987572319743,-46.82470911732474,Professional & Other Places,24
The Square Open Mall,-23.589987572319743,-46.82470911732474,Residence,10
The Square Open Mall,-23.589987572319743,-46.82470911732474,Shop & Service,75
The Square Open Mall,-23.589987572319743,-46.82470911732474,Travel & Transport,4
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Arts & Entertainment,9
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,College & University,52
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Event,3
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Food,134
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Nightlife Spot,32
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Outdoors & Recreation,24
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Professional & Other Places,66
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Residence,15
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Shop & Service,74
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Travel & Transport,13
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Arts & Entertainment,4
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,College & University,7
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Event,0
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Food,72
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Nightlife Spot,12
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Outdoors & Recreation,16
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Professional & Other Places,28
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Residence,7
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Shop & Service,71
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Travel & Transport,8
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Arts & Entertainment,3
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,College & University,8
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Event,0
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Food,62
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Nightlife Spot,4
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Outdoors & Recreation,22
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Professional & Other Places,21
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Residence,5
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Shop & Service,78
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Travel & Transport,3
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Arts & Entertainment,5
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,College & University,5
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Event,0
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Food,60
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Nightlife Spot,12
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Outdoors & Recreation,9
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Professional & Other Places,22
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Residence,2
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Shop & Service,71
Shopping Interlar Aricanduva,-23.562385647524927,-46.50289730581876,Travel & Transport,9
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Arts & Entertainment,19
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,College & University,49
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Event,2
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Food,160
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Nightlife Spot,35
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Outdoors & Recreation,39
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Professional & Other Places,81
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Residence,17
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Shop & Service,91
Shopping Metrô Tatuapé,-23.54158914979159,-46.57634285926117,Travel & Transport,18
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Arts & Entertainment,7
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,College & University,34
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Event,0
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Food,94
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Nightlife Spot,24
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Outdoors & Recreation,42
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Professional & Other Places,51
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Residence,13
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Shop & Service,72
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Travel & Transport,7
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Arts & Entertainment,10
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,College & University,16
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Event,4
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Food,80
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Nightlife Spot,8
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Outdoors & Recreation,21
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Professional & Other Places,44
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Residence,5
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Shop & Service,78
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Travel & Transport,9
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Arts & Entertainment,13
Shopping Center Norte,-23.51559554085492,-46.61769637111641,College & University,15
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Event,6
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Food,126
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Nightlife Spot,11
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Outdoors & Recreation,10
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Professional & Other Places,50
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Residence,4
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Shop & Service,106
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Travel & Transport,73
Shopping Butantã,-23.58529024806558,-46.72500421274316,Arts & Entertainment,4
Shopping Butantã,-23.58529024806558,-46.72500421274316,College & University,18
Shopping Butantã,-23.58529024806558,-46.72500421274316,Event,1
Shopping Butantã,-23.58529024806558,-46.72500421274316,Food,82
Shopping Butantã,-23.58529024806558,-46.72500421274316,Nightlife Spot,15
Shopping Butantã,-23.58529024806558,-46.72500421274316,Outdoors & Recreation,38
Shopping Butantã,-23.58529024806558,-46.72500421274316,Professional & Other Places,42
Shopping Butantã,-23.58529024806558,-46.72500421274316,Residence,12
Shopping Butantã,-23.58529024806558,-46.72500421274316,Shop & Service,61
Shopping Butantã,-23.58529024806558,-46.72500421274316,Travel & Transport,10
